t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,3.0156,-13.6292,70.000,0.8180,3.1580,-89.994,15.0232,7.8066,16.9304,-159.995,0.8180,3.1580,-159.995,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.1619,72.9096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,3.0156,-13.6292,70.000,3.0174,-13.6239,70.445,0.0056,0.0001,0.0056,0.445,3.0174,-13.6239,0.445,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0029,1.3150,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,3.0156,-13.6292,70.000,3.0174,-13.6239,70.445,0.0056,0.0001,0.0056,0.445,3.0174,-13.6239,0.445,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0029,1.3150,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,3.0156,-13.6292,70.000,3.0174,-13.6239,70.445,0.0056,0.0001,0.0056,0.445,3.0174,-13.6239,0.445,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0029,1.3150,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,3.0156,-13.6292,70.000,3.0174,-13.6239,70.445,0.0056,0.0001,0.0056,0.445,3.0174,-13.6239,0.445,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0029,1.3150,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,3.0156,-13.6292,70.000,3.0174,-13.6239,70.445,0.0056,0.0001,0.0056,0.445,3.0174,-13.6239,0.445,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0029,1.3150,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,3.0156,-13.6292,70.000,3.0174,-13.6239,70.445,0.0056,0.0001,0.0056,0.445,3.0174,-13.6239,0.445,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0029,1.3150,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,3.0156,-13.6292,70.000,3.0180,-13.6219,70.286,0.0077,0.0002,0.0077,0.286,3.0180,-13.6219,0.286,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0018,0.8125,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,3.0156,-13.6292,70.000,3.0180,-13.6219,70.286,0.0077,0.0002,0.0077,0.286,3.0180,-13.6219,0.286,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0018,0.8125,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,3.0156,-13.6292,70.000,3.0180,-13.6219,70.286,0.0077,0.0002,0.0077,0.286,3.0180,-13.6219,0.286,0.0000,0.0000,70.000,0.000,0.0000,0.000,0.0000,0.0022,0.0018,0.8125,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
