t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.9301,4.7493,-145.007,0.5165,4.4736,-144.349,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.007,0.000,0.0002,0.061,0.0000,0.0097,0.3392,34.9022,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.9301,4.7493,-145.007,0.5165,4.4736,-144.349,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.007,0.000,0.0001,0.061,0.0000,0.0097,0.3392,34.9022,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.9301,4.7493,-145.007,0.5165,4.4736,-144.349,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.006,0.000,0.0001,0.061,0.0000,0.0097,0.3392,34.9022,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.9301,4.7493,-145.006,0.5165,4.4736,-144.348,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.006,0.000,0.0001,0.061,0.0000,0.0097,0.3392,34.9022,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.9301,4.7493,-145.006,0.5165,4.4736,-144.348,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.006,0.000,0.0001,0.061,0.0000,0.0097,0.3391,34.8981,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.9301,4.7493,-145.006,0.5165,4.4736,-144.348,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3391,34.8981,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.9301,4.7493,-145.006,0.5165,4.4736,-144.349,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3391,34.8981,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.9301,4.7493,-145.006,0.5165,4.4736,-144.348,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3391,34.8981,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.9301,4.7493,-145.006,0.5165,4.4736,-144.348,0.4970,-0.0114,0.4971,0.658,0.5660,4.5092,0.658,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3391,34.8981,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.9301,4.7493,-145.006,0.5241,4.4725,-143.319,0.4914,-0.0061,0.4914,1.687,0.5730,4.5089,1.687,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3026,31.1352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.9301,4.7493,-145.006,0.5241,4.4725,-143.319,0.4914,-0.0061,0.4914,1.687,0.5730,4.5089,1.687,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3026,31.1352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.9301,4.7493,-145.006,0.5241,4.4725,-143.319,0.4914,-0.0061,0.4914,1.687,0.5730,4.5089,1.687,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3026,31.1352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.9301,4.7493,-145.006,0.5241,4.4725,-143.319,0.4914,-0.0061,0.4914,1.687,0.5730,4.5089,1.687,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3026,31.1352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.9301,4.7493,-145.006,0.5241,4.4725,-143.319,0.4914,-0.0061,0.4914,1.687,0.5730,4.5089,1.687,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3026,31.1352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.9301,4.7493,-145.006,0.5241,4.4725,-143.319,0.4914,-0.0061,0.4914,1.687,0.5730,4.5089,1.687,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3026,31.1352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.9301,4.7493,-145.006,0.5241,4.4725,-143.319,0.4914,-0.0061,0.4914,1.687,0.5730,4.5089,1.687,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.3026,31.1352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.9301,4.7493,-145.006,0.5312,4.4802,-142.238,0.4811,-0.0083,0.4812,2.769,0.5795,4.5175,2.769,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.2589,26.6382,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.9301,4.7493,-145.006,0.5312,4.4802,-142.238,0.4811,-0.0083,0.4812,2.769,0.5795,4.5175,2.769,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.2590,26.6483,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.9301,4.7493,-145.006,0.5312,4.4802,-142.238,0.4811,-0.0083,0.4812,2.769,0.5795,4.5175,2.769,-0.0500,-0.0350,-145.006,0.000,0.0000,0.061,0.0000,0.0097,0.2590,26.6483,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
