t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8004,3.1583,-89.997,0.7284,-11.9696,-80.848,15.1279,-0.0728,15.1281,9.149,0.7284,-11.9696,9.149,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0900,3.8559,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8004,3.1583,-89.997,0.7284,-11.9696,-80.848,15.1279,-0.0728,15.1281,9.149,0.7284,-11.9696,9.149,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0900,3.8559,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8004,3.1583,-89.997,0.8052,3.1556,-90.004,0.0027,0.0048,0.0055,-0.008,0.8052,3.1556,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8004,3.1583,-89.997,0.8052,3.1556,-90.004,0.0027,0.0048,0.0055,-0.008,0.8052,3.1556,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8004,3.1583,-89.997,2.4975,-6.6583,-90.510,9.8167,1.6965,9.9622,-0.513,2.4975,-6.6583,-0.513,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0574,2.4589,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8004,3.1583,-89.997,2.4975,-6.6583,-90.510,9.8167,1.6965,9.9622,-0.513,2.4975,-6.6583,-0.513,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0574,2.4585,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8004,3.1583,-89.997,2.4975,-6.6583,-90.510,9.8167,1.6965,9.9622,-0.513,2.4975,-6.6583,-0.513,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0574,2.4585,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8004,3.1583,-89.997,2.4975,-6.6583,-90.510,9.8167,1.6965,9.9622,-0.513,2.4975,-6.6583,-0.513,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0574,2.4585,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8004,3.1583,-89.997,2.4975,-6.6583,-90.510,9.8167,1.6965,9.9622,-0.513,2.4975,-6.6583,-0.513,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0574,2.4585,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8004,3.1583,-89.997,2.4975,-6.6583,-90.510,9.8167,1.6965,9.9622,-0.513,2.4975,-6.6583,-0.513,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0574,2.4585,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
