t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,1.7440,-15.7596,16.469,1.7435,-15.7626,16.517,-0.0014,-0.0028,0.0031,0.049,1.7435,-15.7626,0.049,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0025,1.0901,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,1.7440,-15.7596,16.469,1.7435,-15.7626,16.517,-0.0014,-0.0028,0.0031,0.049,1.7435,-15.7626,0.049,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0025,1.0901,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,1.7440,-15.7596,16.469,1.7435,-15.7626,16.517,-0.0014,-0.0028,0.0031,0.049,1.7435,-15.7626,0.049,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0025,1.0901,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,1.7440,-15.7596,16.469,1.7435,-15.7626,16.517,-0.0014,-0.0028,0.0031,0.049,1.7435,-15.7626,0.049,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0025,1.0901,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,1.7440,-15.7596,16.469,1.7435,-15.7626,16.517,-0.0014,-0.0028,0.0031,0.049,1.7435,-15.7626,0.049,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0025,1.0901,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,1.7440,-15.7596,16.469,1.7435,-15.7626,16.517,-0.0014,-0.0028,0.0031,0.049,1.7435,-15.7626,0.049,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0025,1.0901,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,1.7440,-15.7596,16.469,1.7435,-15.7626,16.517,-0.0014,-0.0028,0.0031,0.049,1.7435,-15.7626,0.049,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0025,1.0901,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,1.7440,-15.7596,16.469,1.7421,-15.7611,16.450,-0.0023,-0.0009,0.0024,-0.019,1.7421,-15.7611,-0.019,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0029,1.2797,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,1.7440,-15.7596,16.469,1.7455,-15.7637,16.681,0.0003,-0.0043,0.0044,0.212,1.7455,-15.7637,0.212,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0022,0.9828,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,1.7440,-15.7596,16.469,1.7455,-15.7637,16.681,0.0003,-0.0043,0.0044,0.212,1.7455,-15.7637,0.212,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0022,0.9828,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,1.7440,-15.7596,16.469,1.7455,-15.7637,16.681,0.0003,-0.0043,0.0044,0.212,1.7455,-15.7637,0.212,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0022,0.9828,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,1.7440,-15.7596,16.469,1.7455,-15.7637,16.681,0.0003,-0.0043,0.0044,0.212,1.7455,-15.7637,0.212,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0022,0.9828,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,1.7440,-15.7596,16.469,1.7455,-15.7637,16.681,0.0003,-0.0043,0.0044,0.212,1.7455,-15.7637,0.212,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0022,0.9828,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,1.7440,-15.7596,16.469,1.7455,-15.7637,16.681,0.0003,-0.0043,0.0044,0.212,1.7455,-15.7637,0.212,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0022,0.9828,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,1.7440,-15.7596,16.469,1.7455,-15.7637,16.681,0.0003,-0.0043,0.0044,0.212,1.7455,-15.7637,0.212,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0022,0.9828,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,1.7440,-15.7596,16.469,1.7455,-15.7637,16.681,0.0003,-0.0043,0.0044,0.212,1.7455,-15.7637,0.212,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0022,0.9828,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.550,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600,0.000,1.7440,-15.7596,16.469,1.7449,-15.7627,16.529,-0.0000,-0.0033,0.0033,0.060,1.7449,-15.7627,0.060,0.0000,0.0000,16.469,0.000,0.0000,0.000,0.0000,0.0023,0.0020,0.8920,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
