t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,5.0700,0.1130,90.004,0.8189,2.8074,270.130,2.6947,4.2510,5.0331,-179.874,0.8180,3.1580,179.572,-0.0035,0.3506,90.558,0.057,0.0001,0.351,0.0000,0.4201,0.4382,1.0430,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.001,5.0700,0.1135,89.993,0.8189,2.8074,269.565,2.6934,4.2514,5.0328,179.571,0.8180,3.1580,179.572,-0.0035,0.3506,89.993,0.002,0.0000,0.351,0.0005,0.0130,0.3549,27.3330,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.001,5.0700,0.1136,89.994,5.0364,0.6684,91.858,0.5548,0.0337,0.5559,1.864,5.0513,0.3181,1.864,-0.0035,0.3506,89.994,0.001,0.0000,0.351,0.0006,0.0130,0.2442,18.8087,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.001,5.0700,0.1136,89.995,5.0364,0.6684,91.859,0.5548,0.0336,0.5559,1.864,5.0513,0.3181,1.864,-0.0035,0.3506,89.994,0.001,0.0000,0.351,0.0006,0.0131,0.2441,18.6721,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.001,5.0700,0.1137,89.995,5.0364,0.6684,91.859,0.5547,0.0336,0.5558,1.864,5.0513,0.3181,1.864,-0.0035,0.3506,89.995,0.001,0.0000,0.351,0.0007,0.0131,0.2441,18.6901,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.001,5.0700,0.1137,89.996,5.0364,0.6684,91.860,0.5547,0.0336,0.5558,1.864,5.0513,0.3181,1.864,-0.0035,0.3506,89.995,0.001,0.0000,0.351,0.0007,0.0131,0.2440,18.6352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.001,5.0700,0.1137,89.996,5.0364,0.6684,91.860,0.5547,0.0336,0.5558,1.864,5.0513,0.3181,1.864,-0.0035,0.3506,89.996,0.000,0.0000,0.351,0.0007,0.0131,0.2440,18.6023,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.001,5.0700,0.1137,89.996,5.0364,0.6684,91.860,0.5547,0.0336,0.5558,1.864,5.0513,0.3181,1.864,-0.0035,0.3506,89.996,0.000,0.0000,0.351,0.0007,0.0132,0.2440,18.5370,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.001,5.0700,0.1137,89.996,5.0364,0.6684,91.860,0.5547,0.0336,0.5558,1.864,5.0513,0.3181,1.864,-0.0035,0.3506,89.996,0.000,0.0000,0.351,0.0007,0.0132,0.2440,18.5018,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.001,5.0700,0.1137,89.996,5.0386,0.6469,93.103,0.5332,0.0315,0.5341,3.107,5.0610,0.2970,3.107,-0.0035,0.3506,89.996,0.000,0.0000,0.351,0.0007,0.0132,0.2158,16.3561,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.001,5.0700,0.1138,89.996,5.0386,0.6469,93.103,0.5331,0.0315,0.5340,3.107,5.0610,0.2970,3.107,-0.0035,0.3506,89.996,0.000,0.0000,0.351,0.0008,0.0132,0.2158,16.4016,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.001,5.0700,0.1138,89.997,5.0386,0.6469,93.103,0.5331,0.0315,0.5340,3.107,5.0610,0.2970,3.107,-0.0035,0.3506,89.997,0.000,0.0000,0.351,0.0008,0.0132,0.2158,16.4016,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.001,5.0700,0.1138,89.997,5.0386,0.6469,93.103,0.5331,0.0315,0.5340,3.107,5.0610,0.2970,3.107,-0.0035,0.3506,89.997,0.000,0.0000,0.351,0.0008,0.0132,0.2158,16.3728,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.001,5.0700,0.1138,89.997,5.0386,0.6469,93.103,0.5331,0.0315,0.5340,3.107,5.0610,0.2970,3.107,-0.0035,0.3506,89.997,0.000,0.0000,0.351,0.0008,0.0132,0.2157,16.3594,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
