t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.111,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.133,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.156,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.245,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.267,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.289,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.311,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.333,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.356,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.378,0.000,0.8002,3.1583,-89.997,0.8059,3.1610,-89.805,-0.0027,0.0057,0.0063,0.192,0.8059,3.1610,0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0202,0.8650,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.422,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.445,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.467,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.489,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.511,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.533,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.556,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.578,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.623,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.645,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.667,0.000,0.8002,3.1583,-89.997,0.8079,3.1642,-89.958,-0.0059,0.0077,0.0097,0.039,0.8079,3.1642,0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0218,0.9335,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
