t,ms,ok,fails,limited,slack,s,n,xi,v,delta,d_cmd,v_plan,a_plan
1789767974.260,80.9,1,0,1,0.000,0.00,0.154,0.241,0.30,0.000,-0.239,1.28,6.98
1789767974.279,17.9,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.239,-0.133,1.56,6.99
1789767974.302,20.8,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.239,-0.126,1.56,6.99
1789767974.323,20.0,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.239,-0.126,1.56,6.99
1789767974.343,18.1,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.170,-0.130,1.56,6.99
1789767974.366,22.0,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.126,-0.133,1.56,6.99
1789767974.387,18.8,1,0,1,0.000,0.00,0.157,0.237,0.32,-0.126,-0.126,1.58,6.99
1789767974.410,22.4,1,0,1,0.000,0.00,0.157,0.237,0.41,-0.130,-0.115,1.67,6.99
1789767974.430,18.1,1,0,1,0.000,0.00,0.162,0.228,0.54,-0.133,-0.087,1.79,6.99
1789767974.451,19.4,1,0,1,0.000,0.00,0.162,0.228,0.67,-0.126,-0.082,1.92,6.98
1789767974.470,17.3,1,0,1,0.000,0.00,0.170,0.214,0.79,-0.115,-0.060,2.02,6.99
1789767974.490,18.8,1,0,1,0.000,0.00,0.170,0.214,0.90,-0.087,-0.057,2.13,6.99
1789767974.516,24.0,1,0,1,0.000,0.11,0.178,0.190,1.03,-0.082,-0.042,2.26,6.99
1789767974.541,23.3,1,0,1,0.000,0.11,0.178,0.190,1.20,-0.057,-0.034,2.42,6.99
1789767974.561,18.1,1,0,1,0.000,0.11,0.187,0.179,1.37,-0.042,-0.025,2.58,6.99
1789767974.578,15.8,1,0,1,0.000,0.11,0.187,0.179,1.50,-0.042,-0.025,2.70,6.99
1789767974.596,16.7,1,0,1,0.000,0.21,0.198,0.143,1.61,-0.042,-0.012,2.81,7.00
1789767974.619,17.4,1,0,1,0.000,0.21,0.203,0.140,1.76,-0.025,-0.011,2.95,7.00
1789767974.645,21.6,1,0,1,0.000,0.32,0.208,0.113,1.90,-0.025,-0.008,3.08,7.00
1789767974.663,16.4,1,0,1,0.000,0.32,0.208,0.113,2.03,-0.012,-0.007,3.20,7.00
1789767974.683,15.4,1,0,1,0.000,0.32,0.216,0.109,2.16,-0.011,-0.005,3.33,7.00
1789767974.706,15.9,1,0,1,0.000,0.42,0.221,0.085,2.29,-0.008,-0.005,3.45,7.00
1789767974.730,17.8,1,0,1,0.000,0.42,0.224,0.084,2.41,-0.007,-0.004,3.56,7.00
1789767974.753,18.6,1,0,1,0.000,0.52,0.228,0.062,2.50,-0.005,0.001,3.66,7.00
1789767974.774,17.0,1,0,1,0.000,0.52,0.231,0.061,2.59,-0.005,-0.000,3.74,7.00
1789767974.793,14.0,1,0,1,0.000,0.62,0.234,0.040,2.65,-0.004,-0.001,3.79,7.00
1789767974.818,16.6,1,0,1,0.000,0.72,0.236,0.020,2.69,0.001,0.002,3.84,7.00
1789767974.841,17.6,1,0,1,0.000,0.72,0.237,0.020,2.79,-0.000,0.002,3.93,7.00
1789767974.863,17.6,1,0,1,0.000,0.82,0.238,0.001,2.87,-0.001,0.001,4.00,7.00
1789767974.887,18.5,1,0,1,0.000,0.92,0.238,-0.016,2.94,0.002,0.003,4.07,7.00
1789767974.908,17.8,1,0,1,0.000,0.92,0.237,-0.016,2.97,0.002,0.003,4.10,7.00
1789767974.929,16.9,1,0,1,0.000,1.02,0.236,-0.033,3.05,0.001,0.003,4.18,7.00
1789767974.952,17.6,1,0,1,0.000,1.12,0.232,-0.049,3.06,0.003,0.003,4.19,7.00
1789767974.974,16.9,1,0,1,0.000,1.12,0.230,-0.048,3.15,0.003,0.003,4.28,7.00
1789767974.996,17.0,1,0,1,0.000,1.22,0.224,-0.063,3.19,0.003,0.004,4.31,7.00
1789767975.022,20.0,1,0,1,0.000,1.32,0.220,-0.078,3.31,0.003,0.003,4.42,7.00
1789767975.043,19.2,1,0,1,0.000,1.42,0.211,-0.092,3.37,0.003,0.004,4.48,7.00
1789767975.066,20.9,1,0,1,0.000,1.52,0.204,-0.106,3.43,0.004,0.003,4.54,7.00
1789767975.091,22.2,1,0,1,0.000,1.62,0.195,-0.106,3.48,0.003,0.003,4.58,7.00
1789767975.114,22.3,1,0,1,0.000,1.62,0.195,-0.106,3.50,0.004,0.003,4.61,7.00
1789767975.140,24.3,1,0,1,0.000,1.72,0.180,-0.091,3.58,0.003,0.003,4.68,7.00
1789767975.167,24.8,1,0,1,0.000,1.72,0.180,-0.091,3.63,0.003,0.003,4.73,7.00
1789767975.192,23.0,1,0,1,0.000,1.92,0.166,-0.066,3.76,0.003,0.003,4.85,7.00
1789767975.218,24.7,1,0,1,0.000,1.92,0.166,-0.066,3.84,0.003,0.003,4.93,7.00
1789767975.242,23.1,1,0,1,0.000,2.12,0.151,-0.057,3.87,0.003,0.005,4.96,7.00
1789767975.268,24.6,1,0,1,0.000,2.12,0.151,-0.057,3.88,0.003,0.004,4.97,7.00
1789767975.295,24.8,1,0,1,0.000,2.32,0.142,-0.054,3.94,0.005,0.005,5.02,6.99
1789767975.325,28.5,1,0,2,0.000,2.32,0.142,-0.054,3.96,0.004,0.042,4.84,3.65
1789767975.352,24.0,1,0,2,0.000,2.52,0.131,-0.052,4.03,0.005,-0.004,4.90,7.00
1789767975.380,27.0,1,0,3,0.000,2.52,0.131,-0.052,4.05,0.042,0.003,4.93,7.00
1789767975.410,27.1,1,0,4,0.000,2.72,0.118,-0.041,4.04,-0.004,0.004,5.11,7.00
1789767975.438,27.2,1,0,5,0.000,2.72,0.118,-0.041,4.03,0.003,0.005,5.11,6.99
1789767975.459,18.9,1,0,5,0.000,3.01,0.112,-0.026,4.04,0.004,-0.001,5.12,7.00
1789767975.488,27.1,1,0,6,0.000,3.11,0.107,-0.024,4.09,0.004,0.008,5.13,6.40
1789767975.515,26.3,1,0,6,0.000,3.11,0.107,-0.024,4.13,-0.001,-0.001,5.17,7.00
1789767975.545,27.1,1,0,7,0.000,3.31,0.103,-0.022,4.24,0.008,0.018,5.27,6.96
1789767975.579,26.8,1,0,8,0.000,3.31,0.103,-0.022,4.31,-0.001,0.007,5.36,6.83
1789767975.607,26.6,1,0,9,0.000,3.61,0.097,-0.020,4.34,0.018,-0.003,5.39,7.00
1789767975.633,23.8,1,0,9,0.000,3.61,0.097,-0.020,4.35,0.007,-0.000,5.40,7.00
1789767975.660,25.8,1,0,9,0.000,3.81,0.093,-0.017,4.39,-0.003,-0.001,5.45,7.00
1789767975.690,28.2,1,0,10,0.000,3.81,0.093,-0.017,4.41,-0.000,0.021,5.38,5.52
1789767975.719,27.6,1,0,11,0.000,4.11,0.089,-0.014,4.48,-0.001,-0.002,5.42,6.58
1789767975.743,22.0,1,0,11,0.000,4.11,0.089,-0.014,4.52,0.021,-0.003,5.46,7.00
1789767975.773,28.1,1,0,12,0.000,4.31,0.086,-0.014,4.53,0.021,0.001,5.56,7.00
1789767975.802,27.8,1,0,13,0.000,4.31,0.086,-0.014,4.55,-0.003,-0.001,5.60,7.00
1789767975.831,27.9,1,0,14,0.000,4.60,0.082,-0.010,4.56,0.001,-0.002,5.61,7.00
1789767975.855,22.3,1,0,14,0.000,4.60,0.082,-0.010,4.57,-0.001,-0.001,5.62,7.00
1789767975.884,27.5,1,0,15,0.000,4.80,0.080,-0.011,4.64,-0.001,0.016,5.62,5.83
1789767975.907,21.3,1,0,15,0.000,4.80,0.080,-0.011,4.69,-0.001,-0.003,5.67,7.00
1789767975.933,24.4,1,0,15,0.000,5.20,0.077,-0.011,4.78,-0.001,0.001,5.75,7.00
1789767975.959,24.6,1,0,15,0.000,5.20,0.077,-0.011,4.84,-0.003,0.000,5.87,7.00
1789767975.980,19.4,1,0,15,0.000,5.40,0.074,-0.007,4.82,0.001,-0.001,5.86,7.00
1789767976.008,27.2,1,0,16,0.002,5.40,0.074,-0.007,4.81,0.001,0.016,5.81,6.39
1789767976.036,26.7,1,0,17,0.000,5.60,0.073,-0.007,4.81,-0.001,-0.003,5.82,7.00
1789767976.058,21.0,1,0,17,0.000,5.60,0.073,-0.007,4.81,0.016,-0.002,5.82,7.00
1789767976.082,22.4,1,0,17,0.000,5.80,0.072,-0.006,4.80,0.016,-0.001,5.84,7.00
1789767976.111,27.4,1,0,18,0.002,5.80,0.072,-0.006,4.79,-0.003,0.033,5.61,3.40
1789767976.140,27.0,1,0,19,0.001,6.20,0.071,-0.001,4.89,-0.001,0.015,5.45,2.62
1789767976.161,20.3,1,0,19,0.000,6.20,0.071,-0.001,4.95,0.033,-0.008,5.50,6.98
1789767976.190,27.1,1,0,20,0.000,6.40,0.070,-0.004,5.00,0.033,0.022,5.69,5.76
1789767976.208,16.6,1,0,20,0.000,6.40,0.070,-0.004,5.04,-0.008,-0.004,5.99,6.99
1789767976.234,24.3,1,0,20,0.000,6.60,0.070,0.002,4.98,-0.008,-0.001,5.93,7.00
1789767976.255,19.7,1,0,20,0.000,6.60,0.070,0.002,4.93,-0.004,-0.002,5.96,7.00
1789767976.282,25.0,1,0,20,0.000,6.79,0.070,-0.000,4.92,-0.004,-0.002,5.95,7.00
1789767976.306,22.3,1,0,20,0.000,6.79,0.070,-0.000,4.91,-0.002,-0.003,5.95,7.00
1789767976.335,26.9,1,0,21,0.000,7.09,0.070,-0.001,5.03,-0.002,0.026,5.95,5.22
1789767976.354,18.6,1,0,21,0.000,7.09,0.070,-0.001,5.15,-0.003,-0.009,6.06,6.97
1789767976.384,27.3,1,0,22,0.000,7.39,0.069,-0.002,5.16,-0.003,0.033,5.92,4.50
1789767976.402,16.8,1,0,22,0.000,7.39,0.069,-0.002,5.17,-0.009,-0.009,6.04,6.96
1789767976.426,22.9,1,0,22,0.000,7.59,0.069,0.004,5.15,-0.009,-0.002,6.02,7.00
