t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8001,3.1583,-89.997,0.8050,3.1593,-89.764,-0.0010,0.0049,0.0050,0.232,0.8050,3.1593,0.232,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0204,0.8732,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.044,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.111,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.133,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.156,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7096,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.244,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7106,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.267,0.000,0.8001,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0075,0.0086,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7106,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.289,0.000,0.8002,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0074,0.0085,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0166,0.7117,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.311,0.000,0.8002,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0074,0.0085,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0166,0.7117,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.334,0.000,0.8002,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0074,0.0085,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0166,0.7117,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.355,0.000,0.8002,3.1583,-89.997,0.8076,3.1623,-89.783,-0.0040,0.0074,0.0085,0.214,0.8076,3.1623,0.214,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0166,0.7117,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
