t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,1.9057,-15.7177,15.034,1.1166,-15.9182,15.805,-0.8141,0.0111,0.8142,0.771,0.6411,-16.0528,0.773,0.4772,0.1282,15.033,0.021,0.0000,0.494,0.0000,0.0016,0.5085,318.6868,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022,0.000,1.9058,-15.7176,15.034,1.1166,-15.9182,15.807,-0.8143,0.0110,0.8143,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.034,0.001,0.0000,0.494,0.0001,0.0023,0.5098,222.6639,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.044,0.000,1.9058,-15.7176,15.035,1.1166,-15.9182,15.807,-0.8143,0.0110,0.8143,0.772,0.6411,-16.0528,0.773,0.4772,0.1282,15.034,-0.001,0.0000,0.494,0.0001,0.0024,0.5099,214.0791,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.000,1.9058,-15.7176,15.035,1.1166,-15.9182,15.808,-0.8143,0.0110,0.8143,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.035,-0.001,0.0000,0.494,0.0001,0.0024,0.5099,216.1487,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089,0.000,1.9058,-15.7176,15.035,1.1166,-15.9182,15.807,-0.8143,0.0110,0.8143,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.035,-0.001,0.0000,0.494,0.0001,0.0023,0.5098,220.4495,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.111,0.000,1.9058,-15.7176,15.034,1.1166,-15.9182,15.807,-0.8143,0.0110,0.8143,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.035,-0.001,0.0000,0.494,0.0001,0.0023,0.5098,222.6582,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.133,0.000,1.9057,-15.7176,15.035,1.1166,-15.9182,15.807,-0.8142,0.0110,0.8142,0.772,0.6411,-16.0528,0.773,0.4772,0.1282,15.035,-0.001,0.0000,0.494,0.0001,0.0023,0.5098,220.4316,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.155,0.000,1.9057,-15.7176,15.034,1.1166,-15.9182,15.807,-0.8142,0.0110,0.8142,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.035,-0.001,0.0000,0.494,0.0001,0.0023,0.5097,222.6347,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178,0.000,1.9057,-15.7176,15.034,1.1166,-15.9182,15.807,-0.8142,0.0110,0.8142,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.034,-0.001,0.0000,0.494,0.0001,0.0023,0.5097,224.8940,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,1.9057,-15.7176,15.034,1.1166,-15.9182,15.807,-0.8142,0.0110,0.8142,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.034,-0.001,0.0000,0.494,0.0001,0.0023,0.5097,224.8703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222,0.000,1.9057,-15.7176,15.034,1.1166,-15.9182,15.807,-0.8142,0.0110,0.8142,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.034,-0.001,0.0000,0.494,0.0001,0.0023,0.5096,224.8633,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.244,0.000,1.9057,-15.7176,15.034,1.1166,-15.9182,15.807,-0.8142,0.0110,0.8142,0.773,0.6411,-16.0528,0.773,0.4772,0.1282,15.034,-0.001,0.0000,0.494,0.0001,0.0023,0.5096,224.8633,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.267,0.000,1.9057,-15.7176,15.034,1.1166,-15.9182,15.807,-0.8142,0.0110,0.8142,0.772,0.6411,-16.0528,0.773,0.4772,0.1282,15.034,-0.001,0.0000,0.494,0.0001,0.0023,0.5096,224.8575,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
