t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay,v2_x,v2_y,v2_err_along,v2_err_cross,v2_err_dist,v2_mode,v2_along_info,v2_cross_info,v2_dx_meas,v2_dy_meas,v2_dx_appl,v2_dy_appl,v2_inlier_frac,v2_resid_m,v2_yaw_hint_deg,v2_iters,v2_compute_ms,v2_reject,v2_clamp_m,v2_pending_m,v2_k_scale,v2_sig_along,v2_sig_cross
0.000,0.000,0.8008,3.1583,-89.997,0.8246,3.1580,-89.997,0.0003,0.0238,0.0238,-0.000,0.8246,3.1580,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8246,3.1580,0.0003,0.0238,0.0238,3.0000,1.3807,78.0180,-0.0001,-0.0300,-0.0001,-0.0000,1.0000,0.0027,0.0000,4.0000,2.4249,5.0000,0.0000,0.0000,0.0250,0.3000,0.0250
0.050,0.000,0.8008,3.1583,-89.997,0.7999,3.1583,-89.997,0.0000,-0.0009,0.0009,-0.000,0.7999,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7999,3.1583,0.0000,-0.0009,0.0009,3.0000,0.3850,89.2656,-0.0009,-0.0189,-0.0009,-0.0000,1.0000,0.0028,0.0000,8.0000,1.9829,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.100,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3818,87.1166,-0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,2.4953,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.150,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3833,86.7907,-0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,2.7583,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.200,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3834,86.7419,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,1.5593,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.250,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3834,86.7377,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,1.4108,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.300,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3834,86.7370,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,2.6755,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.350,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3834,86.7369,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,1.3091,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.400,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,-0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,-0.0000,-0.0011,0.0011,3.0000,0.3834,86.7426,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,2.6493,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.450,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,-0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,-0.0000,-0.0011,0.0011,3.0000,0.3841,86.7346,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,2.6556,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
