t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,5.0699,0.1132,90.004,0.8143,3.6890,-83.069,3.5761,4.2554,5.5585,-173.073,0.8095,4.0325,-173.072,0.0367,0.3416,90.004,0.003,0.0003,0.344,0.0000,0.0126,0.3474,27.5444,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,5.0699,0.1133,90.006,4.9887,-0.3340,82.890,-0.4473,0.0813,0.4546,-7.116,4.9100,-0.6684,-7.116,0.0367,0.3416,90.005,0.003,0.0003,0.344,0.0001,0.0129,0.2050,15.9272,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,5.0699,0.1134,89.991,4.9887,-0.3340,82.891,-0.4474,0.0812,0.4547,-7.100,4.9100,-0.6684,-7.116,0.0367,0.3416,90.006,0.002,0.0002,0.344,0.0002,0.0128,0.2051,16.0572,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,5.0699,0.1135,89.992,4.9887,-0.3340,82.876,-0.4475,0.0812,0.4548,-7.116,4.9100,-0.6684,-7.116,0.0367,0.3416,89.992,0.002,0.0002,0.344,0.0003,0.0128,0.2051,16.0537,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,5.0700,0.1136,89.993,4.9887,-0.3340,82.877,-0.4476,0.0813,0.4549,-7.116,4.9100,-0.6684,-7.116,0.0367,0.3416,89.993,0.001,0.0001,0.344,0.0004,0.0129,0.2053,15.9640,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,5.0700,0.1136,89.994,4.9887,-0.3340,82.878,-0.4476,0.0813,0.4549,-7.116,4.9100,-0.6684,-7.116,0.0367,0.3416,89.994,0.001,0.0001,0.344,0.0004,0.0130,0.2053,15.8129,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,5.0700,0.1136,89.994,4.9887,-0.3340,82.878,-0.4476,0.0813,0.4549,-7.116,4.9100,-0.6684,-7.116,0.0367,0.3416,89.994,0.001,0.0001,0.344,0.0004,0.0130,0.2053,15.7872,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.001,5.0700,0.1137,89.995,5.0233,-0.1300,84.440,-0.2437,0.0467,0.2481,-5.555,4.9537,-0.4664,-5.554,0.0367,0.3416,89.995,0.001,0.0001,0.344,0.0005,0.0130,0.1228,9.4218,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.001,5.0700,0.1137,89.995,5.0233,-0.1300,84.441,-0.2437,0.0467,0.2481,-5.554,4.9537,-0.4664,-5.554,0.0367,0.3416,89.995,0.000,0.0001,0.344,0.0005,0.0131,0.1228,9.3993,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.001,5.0700,0.1137,89.996,5.0233,-0.1300,84.441,-0.2437,0.0467,0.2481,-5.554,4.9537,-0.4664,-5.554,0.0367,0.3416,89.996,0.000,0.0000,0.344,0.0005,0.0131,0.1228,9.3785,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.001,5.0700,0.1137,89.996,5.0233,-0.1300,84.441,-0.2437,0.0467,0.2481,-5.554,4.9537,-0.4664,-5.554,0.0367,0.3416,89.996,0.000,0.0000,0.344,0.0005,0.0131,0.1228,9.3815,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.001,5.0700,0.1137,89.996,5.0233,-0.1300,84.441,-0.2437,0.0467,0.2481,-5.555,4.9537,-0.4664,-5.554,0.0367,0.3416,89.996,0.000,0.0000,0.344,0.0005,0.0131,0.1228,9.3815,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.001,5.0700,0.1137,89.996,5.0233,-0.1300,84.442,-0.2437,0.0467,0.2481,-5.555,4.9537,-0.4664,-5.554,0.0367,0.3416,89.996,0.000,0.0000,0.344,0.0005,0.0131,0.1229,9.3521,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.001,5.0700,0.1138,89.996,5.0233,-0.1300,84.442,-0.2438,0.0467,0.2482,-5.554,4.9537,-0.4664,-5.554,0.0367,0.3416,89.996,0.000,0.0000,0.344,0.0006,0.0131,0.1229,9.3786,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.001,5.0700,0.1138,89.996,5.0233,-0.1300,84.442,-0.2438,0.0467,0.2482,-5.554,4.9537,-0.4664,-5.554,0.0367,0.3416,89.996,0.000,0.0000,0.344,0.0006,0.0131,0.1229,9.3786,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.001,5.0700,0.1138,89.997,5.0233,-0.1300,84.442,-0.2438,0.0467,0.2482,-5.554,4.9537,-0.4664,-5.554,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0131,0.1230,9.3632,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.130,-0.0842,0.0160,0.0857,-2.866,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9268,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.130,-0.0842,0.0160,0.0857,-2.866,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9268,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.130,-0.0842,0.0160,0.0857,-2.866,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9268,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.130,-0.0842,0.0160,0.0857,-2.866,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9268,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.130,-0.0842,0.0160,0.0857,-2.867,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9268,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.131,-0.0842,0.0160,0.0857,-2.866,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9268,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.131,-0.0842,0.0160,0.0857,-2.866,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9268,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.131,-0.0842,0.0160,0.0857,-2.866,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9283,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.001,5.0700,0.1138,89.997,5.0540,0.0296,87.131,-0.0842,0.0160,0.0857,-2.866,5.0003,-0.3097,-2.866,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0517,3.9283,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.001,5.0700,0.1138,89.997,5.0720,0.0995,89.273,-0.0143,-0.0020,0.0144,-0.724,5.0310,-0.2416,-0.724,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0145,1.1018,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.001,5.0700,0.1138,89.997,5.0720,0.0995,89.273,-0.0143,-0.0020,0.0144,-0.724,5.0310,-0.2416,-0.724,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0145,1.1018,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.001,5.0700,0.1138,89.997,5.0720,0.0995,89.273,-0.0143,-0.0020,0.0144,-0.724,5.0310,-0.2416,-0.724,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0145,1.1018,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.001,5.0700,0.1138,89.997,5.0720,0.0995,89.273,-0.0143,-0.0020,0.0144,-0.724,5.0310,-0.2416,-0.724,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0145,1.1018,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.001,5.0700,0.1138,89.997,5.0720,0.0995,89.273,-0.0143,-0.0020,0.0144,-0.724,5.0310,-0.2416,-0.724,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0145,1.1018,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.001,5.0700,0.1138,89.997,5.0720,0.0995,89.273,-0.0143,-0.0020,0.0144,-0.724,5.0310,-0.2416,-0.724,0.0367,0.3416,89.997,0.000,0.0000,0.344,0.0006,0.0132,0.0145,1.1018,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
