t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio
0.000,0.000,0.8002,3.1583,-89.997,0.7972,3.1562,-90.108,0.0021,-0.0030,0.0037,-0.111,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0121,1.6169
0.050,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948
0.100,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948
0.150,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948
0.200,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948
0.250,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948
0.300,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948
0.350,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948
0.400,0.000,0.8002,3.1583,-89.997,0.7965,3.1581,-90.067,0.0002,-0.0037,0.0037,-0.070,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0124,1.6688
0.450,0.000,0.8003,3.1583,-89.997,0.7968,3.1586,-90.073,-0.0003,-0.0035,0.0035,-0.076,0.7972,3.1583,-0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0124,1.7067
0.500,0.000,0.8003,3.1583,-89.997,0.7968,3.1586,-90.073,-0.0003,-0.0035,0.0035,-0.076,0.7972,3.1583,-0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0124,1.7020
0.550,0.000,0.8003,3.1583,-89.997,0.7968,3.1586,-90.073,-0.0003,-0.0035,0.0035,-0.076,0.7972,3.1583,-0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0124,1.7020
0.600,0.000,0.8003,3.1583,-89.997,0.7968,3.1586,-90.073,-0.0003,-0.0035,0.0035,-0.076,0.7972,3.1583,-0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0124,1.7020
