t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio
0.000,0.000,0.8002,3.1583,-89.997,0.7961,3.1550,-90.092,0.0033,-0.0041,0.0053,-0.095,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0127,1.7190
0.050,0.000,0.8002,3.1583,-89.997,0.7947,3.1549,-90.049,0.0034,-0.0055,0.0065,-0.052,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0132,1.7843
0.100,0.000,0.8002,3.1583,-89.997,0.7947,3.1549,-90.049,0.0034,-0.0055,0.0065,-0.052,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0132,1.7843
0.150,0.000,0.8002,3.1583,-89.997,0.7947,3.1549,-90.049,0.0034,-0.0055,0.0065,-0.052,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0132,1.7843
0.200,0.000,0.8002,3.1583,-89.997,0.7947,3.1549,-90.049,0.0034,-0.0055,0.0065,-0.052,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0132,1.7843
0.250,0.000,0.8002,3.1583,-89.997,0.7947,3.1549,-90.049,0.0034,-0.0055,0.0065,-0.052,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0132,1.7843
0.300,0.000,0.8002,3.1583,-89.997,0.7947,3.1549,-90.049,0.0034,-0.0055,0.0065,-0.052,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0132,1.7843
0.350,0.000,0.8002,3.1583,-89.997,0.7947,3.1549,-90.049,0.0034,-0.0055,0.0065,-0.052,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0132,1.7843
0.400,0.000,0.8002,3.1583,-89.997,0.7947,3.1549,-90.049,0.0034,-0.0055,0.0065,-0.052,0.7957,3.1570,-0.215,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0132,1.7843
0.450,0.000,0.8002,3.1583,-89.997,0.7953,3.1563,-90.155,0.0020,-0.0049,0.0053,-0.158,0.7965,3.1565,-0.195,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0141,1.9020
0.500,0.000,0.8002,3.1583,-89.997,0.7957,3.1570,-90.212,0.0013,-0.0045,0.0047,-0.215,0.7965,3.1565,-0.195,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0149,2.0158
0.550,0.000,0.8002,3.1583,-89.997,0.7957,3.1570,-90.212,0.0013,-0.0045,0.0047,-0.215,0.7965,3.1565,-0.195,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0150,2.0223
0.600,0.000,0.8002,3.1583,-89.997,0.7957,3.1570,-90.212,0.0013,-0.0045,0.0047,-0.215,0.7965,3.1565,-0.195,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0150,2.0223
